Numero,Nome,Idade,Nascimento,Clube,Posição,Valor,Face,Logo,Competição
#25,Gianluigi Donnarumma,27,25/02/1999,Manchester City,Goalkeeper,€45.00m,https://img.a.transfermarkt.technology/portrait/header/315858-1761076746.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#1,James Trafford,23,10/10/2002,Manchester City,Goalkeeper,€25.00m,https://img.a.transfermarkt.technology/portrait/header/566799-1689876147.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#13,Marcus Bettinelli,34,24/05/1992,Manchester City,Goalkeeper,€300k,https://img.a.transfermarkt.technology/portrait/header/116648-1700671752.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#15,Marc Guéhi,25,13/07/2000,Manchester City,Centre-Back,€70.00m,https://img.a.transfermarkt.technology/portrait/header/392757-1683030598.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#24,Josko Gvardiol,24,23/01/2002,Manchester City,Centre-Back,€70.00m,https://img.a.transfermarkt.technology/portrait/header/475959-1713391602.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#3,Rúben Dias,29,14/05/1997,Manchester City,Centre-Back,€55.00m,https://img.a.transfermarkt.technology/portrait/header/258004-1684921271.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#45,Abdukodir Khusanov,22,29/02/2004,Manchester City,Centre-Back,€50.00m,https://img.a.transfermarkt.technology/portrait/header/763079-1740493347.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#22,Vitor Reis,20,12/01/2006,Manchester City,Centre-Back,€30.00m,https://img.a.transfermarkt.technology/portrait/header/1005575-1680449774.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
,Juma Bah,20,11/04/2006,Manchester City,Centre-Back,€10.00m,https://img.a.transfermarkt.technology/portrait/header/1121298-1756823284.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#68,Max Alleyne,20,21/07/2005,Manchester City,Centre-Back,€8.00m,https://img.a.transfermarkt.technology/portrait/header/843595-1773301916.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#33,Nico O'Reilly,21,21/03/2005,Manchester City,Left-Back,€70.00m,https://img.a.transfermarkt.technology/portrait/header/743413-1751367149.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#21,Rayan Aït-Nouri,25,06/06/2001,Manchester City,Left-Back,€40.00m,https://img.a.transfermarkt.technology/portrait/header/578391-1761076429.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#97,Josh Wilson-Esbrand,23,26/12/2002,Manchester City,Left-Back,€2.50m,https://img.a.transfermarkt.technology/portrait/header/576121-1765224392.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#27,Matheus Nunes,27,27/08/1998,Manchester City,Right-Back,€50.00m,https://img.a.transfermarkt.technology/portrait/header/601883-1761076097.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#82,Rico Lewis,21,21/11/2004,Manchester City,Right-Back,€28.00m,https://img.a.transfermarkt.technology/portrait/header/701057-1684856684.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
,Issa Kaboré,25,12/05/2001,Manchester City,Right-Back,€4.00m,https://img.a.transfermarkt.technology/portrait/header/649452-1724407648.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#16,Rodri,30,22/06/1996,Manchester City,Defensive Midfield,€50.00m,https://img.a.transfermarkt.technology/portrait/header/357565-1682587890.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#14,Nico González,24,03/01/2002,Manchester City,Defensive Midfield,€40.00m,https://img.a.transfermarkt.technology/portrait/header/466805-1743669968.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#44,Kalvin Phillips,30,02/12/1995,Manchester City,Defensive Midfield,€2.50m,https://img.a.transfermarkt.technology/portrait/header/351749-1661978510.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
,Elliot Anderson,23,06/11/2002,Manchester City,Central Midfield,€75.00m,https://img.a.transfermarkt.technology/portrait/header/567576-1696453772.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#4,Tijjani Reijnders,27,29/07/1998,Manchester City,Central Midfield,€50.00m,https://img.a.transfermarkt.technology/portrait/header/460939-1773302677.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#41,Sverre Nypan,19,19/12/2006,Manchester City,Central Midfield,€13.00m,https://img.a.transfermarkt.technology/portrait/header/911736-1743175613.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#8,Mateo Kovacic,32,06/05/1994,Manchester City,Central Midfield,€10.00m,https://img.a.transfermarkt.technology/portrait/header/51471-1682668192.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#10,Rayan Cherki,22,17/08/2003,Manchester City,Attacking Midfield,€90.00m,https://img.a.transfermarkt.technology/portrait/header/607223-1773302431.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#47,Phil Foden,26,28/05/2000,Manchester City,Attacking Midfield,€70.00m,https://img.a.transfermarkt.technology/portrait/header/406635-1668524492.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#30,Claudio Echeverri,20,02/01/2006,Manchester City,Attacking Midfield,€15.00m,https://img.a.transfermarkt.technology/portrait/header/994536-1758703571.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#11,Jérémy Doku,24,27/05/2002,Manchester City,Left Winger,€75.00m,https://img.a.transfermarkt.technology/portrait/header/486049-1743670159.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#26,Savinho,22,10/04/2004,Manchester City,Left Winger,€35.00m,https://img.a.transfermarkt.technology/portrait/header/743591-1751367497.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
,Jack Grealish,30,10/09/1995,Manchester City,Left Winger,€20.00m,https://img.a.transfermarkt.technology/portrait/header/203460-1676499047.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#42,Antoine Semenyo,26,07/01/2000,Manchester City,Right Winger,€80.00m,https://img.a.transfermarkt.technology/portrait/header/583255-1737452028.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#9,Erling Haaland,25,21/07/2000,Manchester City,Centre-Forward,€200.00m,https://img.a.transfermarkt.technology/portrait/header/418560-1709108116.png?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#7,Omar Marmoush,27,07/02/1999,Manchester City,Centre-Forward,€50.00m,https://img.a.transfermarkt.technology/portrait/header/445939-1747656490.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/281.png?lm=1467356331,Premier League
#1,David Raya,30,15/09/1995,Arsenal FC,Goalkeeper,€30.00m,https://img.a.transfermarkt.technology/portrait/header/262749-1780663789.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,Premier League
#13,Kepa Arrizabalaga,31,03/10/1994,Arsenal FC,Goalkeeper,€5.00m,https://img.a.transfermarkt.technology/portrait/header/192279-1661855851.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,Premier League
#2,William Saliba,25,24/03/2001,Arsenal FC,Centre-Back,€100.00m,https://img.a.transfermarkt.technology/portrait/header/495666-1718697201.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,Premier League
#6,Gabriel,28,19/12/1997,Arsenal FC,Centre-Back,€75.00m,https://img.a.transfermarkt.technology/portrait/header/435338-1684162833.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,Premier League
#5,Piero Hincapié,24,09/01/2002,Arsenal FC,Centre-Back,€50.00m,https://img.a.transfermarkt.technology/portrait/header/659813-1727377918.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,Premier League
#3,Cristhian Mosquera,22,27/06/2004,Arsenal FC,Centre-Back,€40.00m,https://img.a.transfermarkt.technology/portrait/header/646750-1749739359.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,Premier League
#33,Riccardo Calafiori,24,19/05/2002,Arsenal FC,Left-Back,€55.00m,https://img.a.transfermarkt.technology/portrait/header/502821-1727382174.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,Premier League
#12,Jurriën Timber,25,17/06/2001,Arsenal FC,Right-Back,€70.00m,https://img.a.transfermarkt.technology/portrait/header/420243-1702413077.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,Premier League
#4,Ben White,28,08/10/1997,Arsenal FC,Right-Back,€30.00m,https://img.a.transfermarkt.technology/portrait/header/335721-1683275943.jpg?lm=1,https://tmssl.akamaized.net//images/wappen/head/11.png?lm=1489787850,Premier League
